"Name","Live Bytes","Live Objects"
"java.io.ObjectStreamClass$WeakClassKey","9 792 B (0,2%)","306 (0,4%)"
"java.lang.module.ModuleDescriptor$Exports","9 480 B (0,2%)","395 (0,5%)"
"java.lang.StringBuilder","9 264 B (0,2%)","386 (0,5%)"
"java.lang.Long","8 568 B (0,2%)","357 (0,4%)"
"java.lang.invoke.LambdaForm$NamedFunction","8 224 B (0,2%)","257 (0,3%)"
"java.lang.ref.WeakReference","8 032 B (0,2%)","251 (0,3%)"
"java.lang.invoke.MethodTypeForm","7 448 B (0,2%)","133 (0,2%)"
"java.lang.Module","7 392 B (0,2%)","132 (0,2%)"
"java.lang.Integer","6 528 B (0,2%)","408 (0,5%)"
"java.lang.invoke.DirectMethodHandle","6 464 B (0,2%)","202 (0,3%)"
"java.util.ImmutableCollections$Set12","6 432 B (0,2%)","268 (0,3%)"
"java.lang.module.ModuleDescriptor$Requires","5 952 B (0,1%)","186 (0,2%)"
"java.net.URL","5 952 B (0,1%)","93 (0,1%)"
"javax.management.ImmutableDescriptor","5 928 B (0,1%)","247 (0,3%)"
"java.net.URI","5 680 B (0,1%)","71 (0,1%)"
"java.lang.Thread","5 264 B (0,1%)","14 (0%)"
"jdk.internal.reflect.DelegatingClassLoader","5 104 B (0,1%)","58 (0,1%)"
"java.io.ObjectStreamClass","5 096 B (0,1%)","49 (0,1%)"
"java.lang.invoke.LambdaForm$Name[]","4 880 B (0,1%)","99 (0,1%)"
"java.util.Hashtable$Entry[]","4 840 B (0,1%)","78 (0,1%)"
"java.util.WeakHashMap$Entry","4 840 B (0,1%)","121 (0,2%)"
"com.sun.jmx.mbeanserver.ConvertingMethod","4 832 B (0,1%)","151 (0,2%)"
"java.util.logging.LogManager$LoggerWeakRef","4 704 B (0,1%)","98 (0,1%)"
"java.util.ArrayList","4 680 B (0,1%)","195 (0,2%)"
"java.lang.NoSuchMethodException","4 680 B (0,1%)","117 (0,1%)"
"java.util.HashSet","4 656 B (0,1%)","291 (0,4%)"
"java.io.ObjectStreamField","4 600 B (0,1%)","115 (0,1%)"
"java.lang.module.ModuleDescriptor","4 544 B (0,1%)","71 (0,1%)"
"java.lang.invoke.LambdaForm","4 512 B (0,1%)","94 (0,1%)"
"java.util.WeakHashMap$Entry[]","4 128 B (0,1%)","44 (0,1%)"
"jdk.internal.module.ServicesCatalog$ServiceProvider","4 056 B (0,1%)","169 (0,2%)"
"java.lang.invoke.DirectMethodHandle$Accessor","4 000 B (0,1%)","100 (0,1%)"
"java.util.ImmutableCollections$SetN","3 984 B (0,1%)","166 (0,2%)"
"jdk.internal.module.ModuleReferenceImpl","3 976 B (0,1%)","71 (0,1%)"
"java.util.Hashtable","3 744 B (0,1%)","78 (0,1%)"
"java.math.BigInteger","3 600 B (0,1%)","90 (0,1%)"
"java.lang.invoke.MethodHandle[]","3 600 B (0,1%)","42 (0,1%)"
"com.sun.jmx.mbeanserver.MXBeanMapping[]","3 256 B (0,1%)","162 (0,2%)"
"java.lang.reflect.Method[]","3 224 B (0,1%)","35 (0%)"
"com.sun.management.internal.DiagnosticCommandArgumentInfo","3 200 B (0,1%)","80 (0,1%)"
"java.security.ProtectionDomain","3 200 B (0,1%)","80 (0,1%)"
"javax.management.openmbean.OpenMBeanAttributeInfoSupport","3 136 B (0,1%)","49 (0,1%)"
"java.security.CodeSource","2 960 B (0,1%)","74 (0,1%)"
"java.util.logging.LogManager$LogNode","2 816 B (0,1%)","88 (0,1%)"
"javax.management.MBeanAttributeInfo[]","2 800 B (0,1%)","54 (0,1%)"
"java.util.concurrent.CopyOnWriteArrayList","2 736 B (0,1%)","114 (0,1%)"
"java.util.TreeMap","2 640 B (0,1%)","55 (0,1%)"
"org.postgresql.PGProperty","2 600 B (0,1%)","65 (0,1%)"
"java.lang.invoke.BoundMethodHandle$Species_L","2 592 B (0,1%)","81 (0,1%)"
"java.lang.Class$ReflectionData","2 560 B (0,1%)","40 (0%)"
"javax.management.MBeanInfo","2 544 B (0,1%)","53 (0,1%)"
"jdk.internal.reflect.MethodAccessorGenerator","2 448 B (0,1%)","17 (0%)"
"java.util.Collections$UnmodifiableSet","2 416 B (0,1%)","151 (0,2%)"
"java.util.Vector","2 272 B (0,1%)","71 (0,1%)"
"java.lang.ref.ReferenceQueue","2 240 B (0,1%)","70 (0,1%)"
"java.security.Provider$ServiceKey","2 208 B (0,1%)","92 (0,1%)"
"java.io.ObjectStreamClass$FieldReflectorKey","2 200 B (0,1%)","55 (0,1%)"
"jdk.internal.reflect.ClassFileAssembler","2 176 B (0,1%)","68 (0,1%)"
"java.security.Provider$Service","2 128 B (0,1%)","38 (0%)"
"com.sun.management.internal.DiagnosticCommandInfo","2 112 B (0,1%)","44 (0,1%)"
"java.lang.invoke.LambdaForm$Kind","2 112 B (0,1%)","66 (0,1%)"
"java.util.ImmutableCollections$List12","2 088 B (0,1%)","87 (0,1%)"
"java.lang.Character","2 048 B (0,1%)","128 (0,2%)"
"sun.util.calendar.ZoneInfo","2 016 B (0,1%)","36 (0%)"
"java.util.WeakHashMap","1 968 B (0%)","41 (0,1%)"
"java.util.logging.Logger","1 960 B (0%)","35 (0%)"
"javax.management.MBeanAttributeInfo","1 952 B (0%)","61 (0,1%)"
"javax.management.ObjectName$Property[]","1 936 B (0%)","73 (0,1%)"
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef","1 728 B (0%)","36 (0%)"
"jdk.internal.module.SystemModuleFinders$2","1 704 B (0%)","71 (0,1%)"
"java.lang.module.ModuleDescriptor$Provides","1 704 B (0%)","71 (0,1%)"
